Order ID,Amount,Date
44516715,20.0,02/04/24
34286015,116.6999969,07/07/24
90851690,50.0,07/05/24
67286592,900.0,30/07/24
15780875,1120.0,14/08/24
88712053,101.0,02/08/24
35877233,430.0,06/08/24
62671578,1020.0,07/08/24
50407375,150.0,07/08/24
92497763,50.40000153,13/08/24
85311511,65.0,13/08/24
84045829,5.0,13/08/24
27182625,15.0,13/08/24
41460616,372.0,25/08/24
69226073,100.0,25/08/24
73484007,27.0,26/08/24
67551234,3.0,26/08/24
40138173,430.0,26/08/24
70850839,70.0,06/09/24
28352958,48.0,26/08/24
29050472,1920.0,26/08/24
75896254,24.0,26/08/24
94744868,211.0,27/08/24
39566472,2.0,26/08/24
43994020,20.0,26/08/24
74823105,370.0,25/08/24
14854638,250.0,26/08/24
78700075,64.0,26/08/24
43520252,499.0,26/08/24
28457757,4.199999809,26/08/24
13739341,10500.0,03/09/24
60548338,7000.0,27/09/24
28291307,30.0,11/10/24
43629865,90.0,05/04/24
41686287,800.0,11/04/24
78992025,102.0,03/05/24
74514252,1000.0,22/07/24
62447816,150.0,22/07/24
94103714,2800.0,25/07/24
81698225,300.0,09/08/24
11499632,50.0,06/08/24
40936510,130.0,06/08/24
98335702,1800.0,07/08/24
11502949,300.0,13/08/24
64766578,1.399999976,13/08/24
97773938,32.0,13/08/24
91507618,20.0,16/08/24
60827341,202.0,26/08/24
82340925,29.0,26/08/24
40583922,3111.0,26/08/24
55882083,40.0,26/08/24
76891609,168.8000031,26/08/24
67263824,2.0,27/08/24
43212586,144.0,27/08/24
62098069,300.0,26/08/24
13618725,6.0,26/08/24
81768473,3.0,26/08/24
96988196,15.0,26/08/24
15364726,40.0,26/08/24
65259380,351.0,26/08/24
84972550,17.0,26/08/24
71194233,127.0,25/08/24
77234526,501.0,09/10/24
33963035,21.0,08/10/24
20349703,10400.0,03/10/24
66937809,3126.0,26/10/24
58637973,407.0,16/11/24
73307871,127.0,12/11/24
20197198,5500.0,27/11/24
74727226,10.0,03/12/24
97566778,1.399999976,16/11/24
32616337,200.0,18/11/24
36758479,3.0,18/11/24
90014073,84.41000366,02/04/24
73239761,40000.0,17/04/24
78839426,7120.0,10/07/24
53186640,68.0,30/04/24
37331518,50.0,18/07/24
67468527,1275.0,23/07/24
42205539,350.0,09/08/24
44316620,700.0,16/08/24
40908049,1000.0,06/08/24
43371350,7000.0,05/08/24
32179801,25.0,07/08/24
17771704,1700.0,13/08/24
36051516,675.0,13/08/24
74679886,20.29999924,13/08/24
41919651,270.0,13/08/24
70316575,15.0,25/08/24
83413298,52.0,25/08/24
49881751,10000.0,26/08/24
44997447,180.0,26/08/24
89968841,6083.0,26/08/24
85884133,150.0,26/08/24
60104471,100.0,26/08/24
13227660,4000.0,26/08/24
88813193,7384.0,26/08/24
11570297,350.0,26/08/24
92873637,15.0,26/08/24
43695040,22.0,26/08/24
63871003,20.0,26/08/24
76366358,5.0,26/08/24
83911583,100.0,26/08/24
81917918,10.0,26/08/24
64990183,10500.0,03/09/24
76783419,5060.0,27/09/24
96468014,11.39000034,05/04/24
74785864,575.0,17/04/24
70826402,520.0,28/04/24
45031467,20.0,11/10/24
65781697,2.0,16/07/24
